18:24:19.005 [sbt-bg-threads-1] INFO  CloudSim - 
================== Starting CloudSim Plus 6.4.3 ==================

18:24:19.007 [sbt-bg-threads-1] INFO  Datacenter - 0.00: DatacenterSimple1 is starting...
18:24:19.008 [sbt-bg-threads-1] INFO  DatacenterBroker - DatacenterBrokerSimple2 is starting...
18:24:19.008 [sbt-bg-threads-1] INFO  CloudSim - Entities started.
18:24:19.009 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: List of 1 datacenters(s) received.
18:24:19.009 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 0 in DatacenterSimple1
18:24:19.009 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 1 in DatacenterSimple1
18:24:19.010 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 2 in DatacenterSimple1
18:24:19.010 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 3 in DatacenterSimple1
18:24:19.010 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 4 in DatacenterSimple1
18:24:19.010 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 5 in DatacenterSimple1
18:24:19.010 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 6 in DatacenterSimple1
18:24:19.010 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple2: Trying to create Vm 7 in DatacenterSimple1
18:24:19.015 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 0 has been allocated to Host 0/DC 1
18:24:19.016 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 1 has been allocated to Host 1/DC 1
18:24:19.016 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 2 has been allocated to Host 2/DC 1
18:24:19.016 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 3 has been allocated to Host 3/DC 1
18:24:19.017 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 4 has been allocated to Host 0/DC 1
18:24:19.017 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 5 has been allocated to Host 1/DC 1
18:24:19.017 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 6 has been allocated to Host 2/DC 1
18:24:19.017 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 0.00: VmAllocationPolicySimple: Vm 7 has been allocated to Host 3/DC 1
18:24:19.018 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 0 to Vm 0 in Host 0/DC 1 with a requested delay of 28 seconds.
18:24:19.018 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 1 to Vm 1 in Host 1/DC 1 with a requested delay of 15 seconds.
18:24:19.018 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 2 to Vm 2 in Host 2/DC 1 with a requested delay of 4 seconds.
18:24:19.018 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 3 to Vm 3 in Host 3/DC 1 with a requested delay of 35 seconds.
18:24:19.018 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 4 to Vm 4 in Host 0/DC 1 with a requested delay of 97 seconds.
18:24:19.018 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 5 to Vm 5 in Host 1/DC 1 with a requested delay of 50 seconds.
18:24:19.019 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 6 to Vm 6 in Host 2/DC 1 with a requested delay of 85 seconds.
18:24:19.019 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 7 to Vm 7 in Host 3/DC 1 with a requested delay of 45 seconds.
18:24:19.019 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 8 to Vm 0 in Host 0/DC 1 with a requested delay of 30 seconds.
18:24:19.019 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 9 to Vm 1 in Host 1/DC 1 with a requested delay of 7 seconds.
18:24:19.019 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 10 to Vm 2 in Host 2/DC 1 with a requested delay of 26 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 11 to Vm 3 in Host 3/DC 1 with a requested delay of 90 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 12 to Vm 4 in Host 0/DC 1 with a requested delay of 80 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 13 to Vm 5 in Host 1/DC 1 with a requested delay of 43 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 14 to Vm 6 in Host 2/DC 1 with a requested delay of 68 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 15 to Vm 7 in Host 3/DC 1 with a requested delay of 80 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 16 to Vm 0 in Host 0/DC 1 with a requested delay of 16 seconds.
18:24:19.020 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 17 to Vm 1 in Host 1/DC 1 with a requested delay of 28 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 18 to Vm 2 in Host 2/DC 1 with a requested delay of 48 seconds.
18:24:19.021 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 19 to Vm 3 in Host 3/DC 1 with a requested delay of 85 seconds.
