16:17:42.961 [sbt-bg-threads-1] INFO  java.lang.Class - In create vms. finished creating 4 vms for datacenter -7.0 datacenter
16:17:42.962 [sbt-bg-threads-1] INFO  java.lang.Class - In create vms. finished creating 4 vms for datacenter -6.0 datacenter
16:17:42.962 [sbt-bg-threads-1] INFO  java.lang.Class - In create vms. finished creating 4 vms for datacenter -4.0 datacenter
16:17:42.962 [sbt-bg-threads-1] INFO  java.lang.Class - In create vms. finished creating 4 vms for datacenter 5.5 datacenter
16:17:42.965 [sbt-bg-threads-1] INFO  java.lang.Class - Creating normal cloudlet
16:17:42.967 [sbt-bg-threads-1] INFO  CloudSim - 
================== Starting CloudSim Plus 6.4.3 ==================

16:17:42.968 [sbt-bg-threads-1] INFO  DatacenterBroker - DatacenterBrokerSimple1 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  Datacenter - 0.00: NetworkDatacenter2 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  AbstractSwitch - EdgeSwitch3 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  Datacenter - 0.00: NetworkDatacenter4 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  AbstractSwitch - EdgeSwitch5 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  Datacenter - 0.00: NetworkDatacenter6 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  AbstractSwitch - EdgeSwitch7 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  Datacenter - 0.00: NetworkDatacenter8 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  AbstractSwitch - EdgeSwitch9 is starting...
16:17:42.969 [sbt-bg-threads-1] INFO  CloudSim - Entities started.
16:17:42.971 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: List of 4 datacenters(s) received.
16:17:42.971 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 0 in NetworkDatacenter2
16:17:42.971 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 1 in NetworkDatacenter2
16:17:42.971 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 2 in NetworkDatacenter2
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 3 in NetworkDatacenter2
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 4 in NetworkDatacenter4
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 5 in NetworkDatacenter4
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 6 in NetworkDatacenter4
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 7 in NetworkDatacenter4
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 8 in NetworkDatacenter6
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 9 in NetworkDatacenter6
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 10 in NetworkDatacenter6
16:17:42.972 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 11 in NetworkDatacenter6
16:17:42.973 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 12 in NetworkDatacenter8
16:17:42.973 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 13 in NetworkDatacenter8
16:17:42.974 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 14 in NetworkDatacenter8
16:17:42.974 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.00: DatacenterBrokerSimple1: Trying to create Vm 15 in NetworkDatacenter8
16:17:42.979 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 1.00: VmAllocationPolicyBestFit: Vm 4 has been allocated to Host 0/DC 4
16:17:42.980 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 1.00: VmAllocationPolicyBestFit: Vm 5 has been allocated to Host 0/DC 4
16:17:42.980 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 1.00: VmAllocationPolicyBestFit: Vm 6 has been allocated to Host 0/DC 4
16:17:42.981 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 1.00: VmAllocationPolicyBestFit: Vm 7 has been allocated to Host 0/DC 4
16:17:42.981 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 0 has been allocated to Host 0/DC 2
16:17:42.981 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 1 has been allocated to Host 0/DC 2
16:17:42.981 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 2 has been allocated to Host 0/DC 2
16:17:42.982 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 3 has been allocated to Host 0/DC 2
16:17:42.982 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 8 has been allocated to Host 0/DC 6
16:17:42.982 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 9 has been allocated to Host 0/DC 6
16:17:42.982 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 10 has been allocated to Host 0/DC 6
16:17:42.983 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 3.00: VmAllocationPolicyBestFit: Vm 11 has been allocated to Host 0/DC 6
16:17:42.983 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 13.00: VmAllocationPolicyBestFit: Vm 12 has been allocated to Host 0/DC 8
16:17:42.983 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 13.00: VmAllocationPolicyBestFit: Vm 13 has been allocated to Host 0/DC 8
16:17:42.984 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 13.00: VmAllocationPolicyBestFit: Vm 14 has been allocated to Host 0/DC 8
16:17:42.984 [sbt-bg-threads-1] INFO  VmAllocationPolicy - 13.00: VmAllocationPolicyBestFit: Vm 15 has been allocated to Host 0/DC 8
16:17:42.984 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 0 to Vm 0 in Host 0/DC 2.
16:17:42.984 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 1 to Vm 1 in Host 0/DC 2.
16:17:42.984 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 2 to Vm 2 in Host 0/DC 2.
16:17:42.984 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 3 to Vm 3 in Host 0/DC 2.
16:17:42.984 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 4 to Vm 4 in Host 0/DC 4.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 5 to Vm 5 in Host 0/DC 4.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 6 to Vm 6 in Host 0/DC 4.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 7 to Vm 7 in Host 0/DC 4.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 8 to Vm 8 in Host 0/DC 6.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 9 to Vm 9 in Host 0/DC 6.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 10 to Vm 10 in Host 0/DC 6.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 11 to Vm 11 in Host 0/DC 6.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 12 to Vm 12 in Host 0/DC 8.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 13 to Vm 13 in Host 0/DC 8.
16:17:42.985 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 14 to Vm 14 in Host 0/DC 8.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 15 to Vm 15 in Host 0/DC 8.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 16 to Vm 0 in Host 0/DC 2.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 17 to Vm 1 in Host 0/DC 2.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 18 to Vm 2 in Host 0/DC 2.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 19 to Vm 3 in Host 0/DC 2.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 20 to Vm 4 in Host 0/DC 4.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 21 to Vm 5 in Host 0/DC 4.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 22 to Vm 6 in Host 0/DC 4.
16:17:42.986 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 23 to Vm 7 in Host 0/DC 4.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 24 to Vm 8 in Host 0/DC 6.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 25 to Vm 9 in Host 0/DC 6.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 26 to Vm 10 in Host 0/DC 6.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 27 to Vm 11 in Host 0/DC 6.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 28 to Vm 12 in Host 0/DC 8.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 29 to Vm 13 in Host 0/DC 8.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 30 to Vm 14 in Host 0/DC 8.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 31 to Vm 15 in Host 0/DC 8.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 32 to Vm 0 in Host 0/DC 2.
16:17:42.987 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 33 to Vm 1 in Host 0/DC 2.
16:17:42.988 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 34 to Vm 2 in Host 0/DC 2.
16:17:42.989 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 35 to Vm 3 in Host 0/DC 2.
16:17:42.989 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 36 to Vm 4 in Host 0/DC 4.
16:17:42.989 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 37 to Vm 5 in Host 0/DC 4.
16:17:42.989 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 38 to Vm 6 in Host 0/DC 4.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 39 to Vm 7 in Host 0/DC 4.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 40 to Vm 8 in Host 0/DC 6.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 41 to Vm 9 in Host 0/DC 6.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 42 to Vm 10 in Host 0/DC 6.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 43 to Vm 11 in Host 0/DC 6.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 44 to Vm 12 in Host 0/DC 8.
16:17:42.990 [sbt-bg-threads-1] INFO  DatacenterBroker - 26.10: DatacenterBrokerSimple1: Sending Cloudlet 45 to Vm 13 in Host 0/DC 8.
